id, mag, dist, dist_standard
1, 211, 402, 421
2, 239, 365, 423
3, 260, 343, 417
4, 285, 306, 431
5, 312, 282, 413
6, 353, 240, 416
7, 400, 192, 415
8, 482, 139, 412
9, 605, 67, 390
10, 672, 28, 398
11, 222, 396, 401
12, 264, 334, 410
13, 375, 222, 399
14, 448, 166, 385
15, 491, 135, 398
16, 554, 89, 391
17, 630, 60, 400
18, 232, 384, 414
19, 255, 354, 417
20, 270, 327, 408
21, 325, 270, 408
22, 412, 192, 407
23, 452, 136, 411
24, 492, 138, 402
25, 521, 104, 392
26, 612, 60, 393
27, 293, 310, 406
28, 337, 253, 406
29, 388, 210, 403
30, 580, 78, 400
