id,mag,dist,dist_standard,dist_mm
1,211,402,421,2.8646080760095014
2,239,365,423,2.5886524822695036
3,260,343,417,2.4676258992805757
4,285,306,431,2.1299303944315544
5,312,282,413,2.0484261501210654
6,353,240,416,1.7307692307692308
7,400,192,415,1.3879518072289156
8,482,139,412,1.0121359223300972
9,605,67,390,0.5153846153846153
10,672,28,398,0.21105527638190955
11,222,396,401,2.9625935162094765
12,264,334,410,2.44390243902439
13,375,222,399,1.669172932330827
14,448,166,385,1.2935064935064935
15,491,135,398,1.0175879396984924
16,554,89,391,0.6828644501278772
17,630,60,400,0.45
18,232,384,414,2.782608695652174
19,255,354,417,2.5467625899280577
20,270,327,408,2.4044117647058822
21,325,270,408,1.9852941176470589
22,412,192,407,1.4152334152334152
23,452,136,411,0.9927007299270073
24,492,138,402,1.0298507462686568
25,521,104,392,0.7959183673469388
26,612,60,393,0.4580152671755725
27,293,310,406,2.29064039408867
28,337,253,406,1.8694581280788178
29,388,210,403,1.5632754342431763
30,580,78,400,0.585
