motor_step_angle,spring_displacement,tension
0.000,0.000,0.000
1.253,0.050,0.034
2.499,0.100,0.067
3.739,0.150,0.101
4.973,0.200,0.134
6.200,0.250,0.168
7.420,0.300,0.201
8.634,0.350,0.235
9.842,0.400,0.268
11.043,0.450,0.302
12.238,0.500,0.335
13.426,0.550,0.369
14.608,0.600,0.402
15.783,0.650,0.436
16.952,0.700,0.469
18.115,0.750,0.503
19.271,0.800,0.536
20.420,0.850,0.570
21.563,0.900,0.603
22.700,0.950,0.637
23.830,1.000,0.670
24.954,1.050,0.704
26.072,1.100,0.737
27.183,1.150,0.771
28.287,1.200,0.804
29.385,1.250,0.838
30.477,1.300,0.871
31.563,1.350,0.905
32.642,1.400,0.938
33.714,1.450,0.972
34.780,1.500,1.005
35.840,1.550,1.039
36.893,1.600,1.072
37.940,1.650,1.106
38.981,1.700,1.139
40.015,1.750,1.173
41.043,1.800,1.206
42.064,1.850,1.240
43.079,1.900,1.273
44.088,1.950,1.307
45.090,2.000,1.340
46.086,2.050,1.374
47.076,2.100,1.407
48.059,2.150,1.441
49.036,2.200,1.474
50.007,2.250,1.508
50.971,2.300,1.541
51.929,2.350,1.575
52.881,2.400,1.608
53.826,2.450,1.641
54.765,2.500,1.675
55.698,2.550,1.709
56.624,2.600,1.742
57.544,2.650,1.776
58.458,2.700,1.809
59.366,2.750,1.843
60.267,2.800,1.876
61.162,2.850,1.910
62.051,2.900,1.943
62.933,2.950,1.976
63.810,3.000,2.010
64.680,3.050,2.044
65.543,3.100,2.077
66.401,3.150,2.111
67.252,3.200,2.144
68.097,3.250,2.178
68.936,3.300,2.211
69.769,3.350,2.245
70.595,3.400,2.278
71.416,3.450,2.312
72.230,3.500,2.345
73.038,3.550,2.379
73.840,3.600,2.412
74.635,3.650,2.446
75.425,3.700,2.479
76.208,3.750,2.513
76.986,3.800,2.546
77.757,3.850,2.580
78.522,3.900,2.613
79.281,3.950,2.647
80.034,4.000,2.680
80.780,4.050,2.714
81.521,4.100,2.747
82.256,4.150,2.780
82.984,4.200,2.814
83.707,4.250,2.848
84.424,4.300,2.881
85.134,4.350,2.915
85.839,4.400,2.948
86.537,4.450,2.982
87.230,4.500,3.015
87.916,4.550,3.049
88.597,4.600,3.082
89.272,4.650,3.116
89.940,4.700,3.149
90.603,4.750,3.183
91.260,4.800,3.216
91.911,4.850,3.250
92.556,4.900,3.283
93.196,4.950,3.317
93.829,5.000,3.350
94.457,5.050,3.384
95.078,5.100,3.417
95.694,5.150,3.451
96.304,5.200,3.484
96.909,5.250,3.518
97.507,5.300,3.551
98.100,5.350,3.585
98.687,5.400,3.618
99.268,5.450,3.652
99.844,5.500,3.685
100.414,5.550,3.719
100.978,5.600,3.752
101.537,5.650,3.786
102.090,5.700,3.819
102.637,5.750,3.853
103.178,5.800,3.886
103.714,5.850,3.920
104.245,5.900,3.953
104.770,5.950,3.987
105.289,6.000,4.020
105.803,6.050,4.054
106.311,6.100,4.087
106.813,6.150,4.120
107.311,6.200,4.154
107.802,6.250,4.188
108.289,6.300,4.221
108.770,6.350,4.255
109.245,6.400,4.288
109.715,6.450,4.322
110.180,6.500,4.355
110.639,6.550,4.388
111.093,6.600,4.422
111.542,6.650,4.456
111.985,6.700,4.489
112.423,6.750,4.523
112.856,6.800,4.556
113.283,6.850,4.590
113.706,6.900,4.623
114.123,6.950,4.657
114.535,7.000,4.690
114.942,7.050,4.724
115.343,7.100,4.757
115.740,7.150,4.791
116.131,7.200,4.824
116.517,7.250,4.858
116.899,7.300,4.891
117.275,7.350,4.925
117.646,7.400,4.958
118.012,7.450,4.992
118.374,7.500,5.025
118.730,7.550,5.059
119.081,7.600,5.092
119.428,7.650,5.126
119.769,7.700,5.159
120.106,7.750,5.192
120.438,7.800,5.226
120.765,7.850,5.260
121.087,7.900,5.293
121.404,7.950,5.327
121.717,8.000,5.360
122.025,8.050,5.393
122.328,8.100,5.427
122.626,8.150,5.461
122.920,8.200,5.494
123.209,8.250,5.527
123.494,8.300,5.561
123.773,8.350,5.595
124.049,8.400,5.628
124.319,8.450,5.662
124.585,8.500,5.695
124.847,8.550,5.729
125.104,8.600,5.762
125.357,8.650,5.796
125.605,8.700,5.829
125.848,8.750,5.863
126.087,8.800,5.896
126.322,8.850,5.930
126.552,8.900,5.963
126.778,8.950,5.997
127.000,9.000,6.030
127.217,9.050,6.064
127.241,9.100,6.097
127.097,9.150,6.131
126.948,9.200,6.164
126.795,9.250,6.198
126.638,9.300,6.231
126.477,9.350,6.265
126.311,9.400,6.298
126.141,9.450,6.332
125.967,9.500,6.365
125.788,9.550,6.399
125.606,9.600,6.432
125.419,9.650,6.466
125.228,9.700,6.499
125.033,9.750,6.532
124.834,9.800,6.566
124.630,9.850,6.600
124.423,9.900,6.633
124.211,9.950,6.667
123.996,10.000,6.700
