spring_displacement,mag2,interpolated_tension
0,295,0
0.0398406,296,0.10996
0.0798239,296,0.221507
0.119952,296,0.334663
0.160235,296,0.449271
0.200692,296,0.565006
0.241375,296,0.682988
0.282216,296,0.802715
0.323232,297,0.924231
0.364421,297,1.04726
0.405777,298,1.17156
0.44734,299,1.29791
0.489098,300,1.42642
0.53105,301,1.55688
0.573184,301,1.68926
0.615506,302,1.82362
0.658027,302,1.96001
0.70073,303,2.0984
0.743686,304,2.23929
0.786831,304,2.38301
0.830191,304,2.52844
0.873755,304,2.67577
0.917531,304,2.82566
0.961528,305,2.97835
1.00573,305,3.1333
1.05018,306,3.29064
1.09486,307,3.4506
1.13979,308,3.61385
1.18495,308,3.7803
1.23035,310,3.94949
1.27598,311,4.12122
1.32185,312,4.2959
1.36796,313,4.4737
1.41435,314,4.65484
1.46101,315,4.84005
1.50792,315,5.02798
1.55508,315,5.21891
1.60253,316,5.41452
1.65024,317,5.61302
1.69827,318,5.81667
1.74657,319,6.02332
1.79514,321,6.23481
1.84403,321,6.44974
1.89325,322,6.66977
1.94272,323,6.89482
1.99256,325,7.1238
2.04268,327,7.35773
2.09313,328,7.59644
2.14395,328,7.84083
2.19509,329,8.09093
2.24655,330,8.34589
2.29834,330,8.60664
2.35053,332,8.87373
2.40312,333,9.14747
2.45602,335,9.42725
2.50933,337,9.71378
2.56307,338,10.0074
2.61717,339,10.3085
2.67166,339,10.6165
2.72657,340,10.9326
2.78191,340,11.2573
2.83765,341,11.5892
2.89386,341,11.9306
2.95051,341,12.2812
