spring_displacement,mag2,interpolated_tension
0,202,0
0.039968,202,0.0271783
0.0801045,202,0.053869
0.120379,200,0.0808579
0.160787,199,0.108119
0.201345,199,0.134914
0.242095,199,0.162624
0.282979,199,0.189766
0.324033,201,0.217342
0.365261,202,0.245072
0.406645,202,0.272518
0.448173,202,0.300757
0.489933,202,0.328356
0.531837,203,0.356649
0.573904,203,0.384777
0.616144,204,0.412978
0.65856,206,0.44165
0.701155,206,0.469785
0.743926,206,0.49887
0.786919,206,0.527367
0.830078,207,0.556453
0.873435,208,0.585467
0.916987,208,0.614551
0.960711,208,0.644069
1.00463,209,0.673151
1.04876,210,0.70316
1.09312,210,0.732461
1.13766,211,0.762606
1.18242,211,0.792398
1.22739,212,0.822623
1.27255,212,0.852886
1.31794,212,0.8832
1.36355,213,0.913945
1.40938,213,0.944381
1.45542,214,0.975575
1.50172,215,1.00617
1.54823,215,1.0378
1.595,215,1.0687
1.642,215,1.10056
1.68926,215,1.13191
1.73674,216,1.16398
1.7845,216,1.19577
1.8325,220,1.2281
1.88075,221,1.2603
1.92925,222,1.29289
1.97803,223,1.3255
2.02709,223,1.35842
2.07641,221,1.39143
2.12602,221,1.42469
2.1759,223,1.45809
2.22608,224,1.49174
2.27657,225,1.52554
2.32734,225,1.55959
2.3784,225,1.59375
2.42979,225,1.62766
2.4815,225,1.66242
2.53352,225,1.6978
2.58585,225,1.73266
2.6385,225,1.76818
2.69151,226,1.80339
2.74487,227,1.83951
2.79855,228,1.87504
2.85261,229,1.91172
2.90706,230,1.94766
2.96189,231,1.98409
