spring_displacement,mag2
0,428
2.91618e-05,427
5.83857e-05,428
8.7672e-05,428
0.000117021,430
0.000146434,430
0.00017591,429
0.00020545,429
0.000235055,422
0.000264724,434
0.00029446,434
0.00032426,433
0.000354128,434
0.000384061,433
0.000414062,435
0.000444131,432
0.000474267,437
0.000504472,436
0.000534746,438
0.000565089,438
0.000595502,441
0.000625985,440
0.000656539,442
0.000687165,441
0.000717862,442
0.000748631,446
0.000779473,444
0.000810388,445
0.000841377,446
0.000872441,447
0.000903579,446
0.000934793,449
0.000966082,448
0.000997448,449
0.00102889,449
0.00106041,449
0.00109201,450
0.00112369,449
0.00115544,449
0.00118728,454
0.00121919,451
0.00125119,451
0.00128327,453
0.00131543,453
0.00134767,453
0.00138,454
0.00141241,454
0.00144491,455
0.00147749,456
0.00151015,456
0.00154291,455
0.00157575,454
0.00160868,457
0.00164169,457
0.0016748,458
0.00170799,460
0.00174128,460
0.00177466,456
0.00180813,462
0.00184169,462
0.00187535,459
0.0019091,460
0.00194294,461
0.00197689,460
0.00201092,463
0.00204506,460
0.00207929,464
0.00211362,460
0.00214806,463
0.00218259,463
0.00221722,464
0.00225196,462
0.0022868,463
0.00232174,470
0.00235679,467
0.00239195,465
0.00242721,466
0.00246258,465
0.00249805,468
0.00253364,469
0.00256934,478
0.00260515,468
0.00264107,467
0.0026771,466
0.00271325,485
0.00274951,487
0.00278589,489
0.00282239,492
0.00285901,496
0.00289574,501
0.0029326,501
0.00296958,497
