spring_displacement,mag2,interpolated_tension
0,427,0
0.0291886,427,0.0437828
0.0584066,427,0.0874417
0.0876977,428,0.130793
0.117049,429,0.174573
0.146443,429,0.218665
0.175929,429,0.262894
0.20545,429,0.307066
0.235071,430,0.350905
0.264744,433,0.395117
0.294471,433,0.439706
0.324284,434,0.48394
0.354132,433,0.528198
0.384072,430,0.573108
0.414071,441,0.618106
0.444137,438,0.663206
0.474291,439,0.707951
0.504482,440,0.752723
0.534767,439,0.79815
0.565106,438,0.84366
0.595502,441,0.889252
0.626007,442,0.934491
0.656556,444,0.979835
0.687194,445,1.02579
0.717897,445,1.07149
0.748647,445,1.117
0.779506,445,1.16326
0.810409,444,1.20961
0.841388,448,1.25608
0.872464,443,1.30225
0.903592,450,1.34839
0.934822,449,1.39523
0.966113,451,1.44217
0.997461,452,1.48919
1.02892,451,1.5358
1.06042,453,1.58263
1.09201,453,1.63001
1.1237,453,1.67707
1.15545,452,1.72417
1.18729,455,1.77194
1.21921,455,1.81982
1.25119,454,1.86776
1.28328,455,1.91525
1.31544,457,1.96316
1.34768,458,2.01152
1.38003,456,2.06005
1.41244,458,2.1084
1.4449,460,2.15646
1.47751,460,2.20527
1.51018,459,2.25407
1.54293,460,2.30253
1.57577,458,2.35166
1.60869,461,2.40103
1.64171,459,2.45057
1.67483,460,2.49975
1.70802,460,2.54903
1.74128,462,2.59893
1.77468,462,2.64902
1.80815,463,2.69907
1.84171,466,2.74873
1.87537,464,2.79906
1.90911,460,2.84948
1.94296,466,2.89958
1.97692,467,2.95038
2.01095,465,3.00142
2.04505,465,3.05258
2.0793,466,3.10337
2.11364,466,3.15445
2.14807,482,3.20611
2.18262,482,3.25793
2.21724,480,3.30952
2.25195,482,3.36093
2.28682,490,3.41323
2.32178,490,3.46523
2.35682,488,3.51722
2.39195,489,3.56993
2.42722,493,3.62284
2.46259,497,3.67563
2.49805,495,3.72811
2.53365,496,3.78148
2.56935,493,3.83502
2.60514,493,3.88861
2.64109,503,3.94181
2.67713,509,3.99569
2.71327,507,4.04964
2.74953,506,4.1033
2.78592,518,4.15788
2.82242,524,4.21263
2.85903,520,4.26737
2.89574,521,4.3217
2.93262,521,4.37693
2.96961,519,4.43241
