motor_step_angle,spring_displacement,tension
0.000,0.000,0.000
1.713,0.050,0.034
3.420,0.100,0.067
5.121,0.150,0.101
6.816,0.200,0.134
8.504,0.250,0.168
10.186,0.300,0.201
11.862,0.350,0.235
13.532,0.400,0.268
15.195,0.450,0.302
16.852,0.500,0.335
18.503,0.550,0.369
20.148,0.600,0.402
21.786,0.650,0.436
23.418,0.700,0.469
25.044,0.750,0.503
26.664,0.800,0.536
28.278,0.850,0.570
29.885,0.900,0.603
31.486,0.950,0.637
33.081,1.000,0.670
34.670,1.050,0.704
36.253,1.100,0.737
37.829,1.150,0.771
39.399,1.200,0.804
40.963,1.250,0.838
42.521,1.300,0.871
44.072,1.350,0.905
45.617,1.400,0.938
47.157,1.450,0.972
48.689,1.500,1.005
50.216,1.550,1.039
51.737,1.600,1.072
53.251,1.650,1.106
54.759,1.700,1.139
56.262,1.750,1.173
57.757,1.800,1.206
59.247,1.850,1.240
60.731,1.900,1.273
62.208,1.950,1.307
63.679,2.000,1.340
65.145,2.050,1.374
66.604,2.100,1.407
68.056,2.150,1.441
69.503,2.200,1.474
70.944,2.250,1.508
72.378,2.300,1.541
73.806,2.350,1.575
75.229,2.400,1.608
76.645,2.450,1.641
78.055,2.500,1.675
79.459,2.550,1.709
80.857,2.600,1.742
82.248,2.650,1.776
83.634,2.700,1.809
85.013,2.750,1.843
86.387,2.800,1.876
87.754,2.850,1.910
89.116,2.900,1.943
90.471,2.950,1.976
91.820,3.000,2.010
